Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:17756 | mscopilot.exe | Trusted | C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID:17764 | python.exe | Unknown | C:\Users\BHUKAILASH\AppData\Local\Python\pythoncore-3.14-64\python.exe
PID:17836 | RadeonSoftware.exe | Trusted | C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.25.10201.0_x64__0a9344xs7nr4m\radeonsoftware\RadeonSoftware.exe
PID:17844 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:17860 | OpenConsole.exe | Unknown | D:\VS CODE\Microsoft VS Code\6928394f91\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe
PID:17876 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:18100 | WINWORD.EXE | Trusted | C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE
PID:18336 | SnippingTool.exe | Trusted | C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2602.49.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe
PID:18472 | WidgetService.exe | Trusted | C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe
PID:18520 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:18584 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:18604 | splunkd.exe | Trusted | C:\Program Files\Splunk\bin\splunkd.exe
PID:18708 | mscopilot.exe | Trusted | C:\Program Files (x86)\Microsoft\Copilot\Application\mscopilot.exe
PID:18736 | CrossDeviceResume.exe | Trusted | C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
PID:18752 | ipc_broker.exe | Trusted | C:\Program Files\Splunk\var\run\supervisor\pkg-run\pkg-ipc_broker1755014732\ipc_broker.exe
PID:18876 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:18944 | python3.13.exe | Trusted | C:\Program Files\Splunk\bin\python3.13.exe
PID:18960 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:19048 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:19120 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
